temp,hum,label
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
32.60,60.80,1
